,0,1,2,3,4,5,6,7,8,9,10,11,12,user_id
0,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,0.10353635088146493,-0.02890205882520116,252
1,1.870883032941565,1.0140354840063177,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,0.10353635088146493,-0.003982290507072986,252
2,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,0.10353635088146493,0.045857246129183356,252
23,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,0.10353635088146493,-0.02890205882520116,254
426,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,2.540885919460449,-0.3621764637056963,-0.566526799003001,0.6752173263419305,-0.8041882656508116,0.2078357401970165,255
548,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-1.3770804423768583,0.10353635088146493,0.2078357401970165,256
8,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,1.0991539318374246,-0.636972510735826,-0.3621764637056963,-0.566526799003001,0.6752173263419305,0.10353635088146493,-0.0912014796205216,257
6,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,1.1132489855927756,1.1350211587321313,-0.636972510735826,-0.3621764637056963,-0.566526799003001,0.6752173263419305,0.10353635088146493,-0.10366136377958568,257
4,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,0.4967996880583263,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,0.6752173263419305,0.10353635088146493,-0.0912014796205216,257
30,2.873381687419559,-0.6623063566365308,0.789818899250226,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,1.0472924572681996,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,-0.35032595738467337,-0.10366136377958568,262
31,1.5367168147822339,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,1.4963149414172705,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,-0.35032595738467337,-0.0912014796205216,262
39,1.5367168147822339,-0.6623063566365308,1.2842941735621611,2.078379775913882,-0.39208637550905434,-0.36429112973027644,1.2784900663109577,2.540885919460449,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,-0.35032595738467337,0.045857246129183356,262
35,1.345764690119759,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,-0.35032595738467337,-0.05382182714332933,262
9,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,-0.8041882656508116,-0.05382182714332933,263
420,1.6321928771134715,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,0.6328799822062389,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,0.5573986591476032,0.045857246129183356,264
421,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,0.5573986591476032,0.0956967827654397,264
413,0.10457587981367152,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,0.6752173263419305,-0.35032595738467337,0.24521539267420875,268
12,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,1.0112609674137416,-0.016442174666137073,269
21,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,0.10353635088146493,-0.003982290507072986,270
22,-0.5160185253393722,-0.6623063566365308,-0.1991316493736442,-0.20612479543303183,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,0.8566209514564233,-0.3621764637056963,0.759437270628933,1.496136433829446,0.10353635088146493,0.282595045151401,271
486,-0.5160185253393722,-0.6623063566365308,1.0205740272624624,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,1.2784900663109577,-0.636972510735826,-0.3621764637056963,1.3686640053246864,1.496136433829446,-0.8041882656508116,0.3822741184239137,272
26,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.2647018357239783,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,1.8690484374104674,0.18604740267998848,0.6752173263419305,0.5573986591476032,0.19537585603795238,273
27,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,4.779812863779508,-0.35032595738467337,0.12061655108356788,275
435,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,0.6752173263419305,-0.8041882656508116,0.3075148134695292,277
288,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,-0.8504722386334435,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,1.0112609674137416,0.05831713028824744,278
305,-0.5160185253393722,-0.6623063566365308,-0.6936069236855793,0.6139537686402193,-0.39208637550905434,1.1679726935677035,0.5970127553115322,-0.636972510735826,0.859684791667441,-0.566526799003001,-0.14570178114558496,1.0112609674137416,-0.07874159546145751,278
251,-0.5160185253393722,0.041757216433465555,-0.6936069236855793,0.4382226477673798,2.070407345366274,0.8396304457181364,0.883950570469185,-0.636972510735826,1.8690484374104674,-0.566526799003001,-0.14570178114558496,1.0112609674137416,-0.07874159546145751,278
343,1.2025505966229026,-0.6623063566365308,0.19644857007590388,0.26249152689454025,-0.39208637550905434,-0.36429112973027644,-0.5866057322137856,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,1.0112609674137416,-0.0912014796205216,278
386,-0.5160185253393722,0.27644507412346436,-0.6936069236855793,0.3796456074764333,-0.39208637550905434,1.6604860653420541,1.3502245201003709,-0.636972510735826,-0.3621764637056963,-0.1006475312944837,-0.14570178114558496,1.0112609674137416,-0.10366136377958568,278
106,-0.5160185253393722,0.008230379620608581,-0.1991316493736442,-0.8504722386334435,-0.39208637550905434,0.566011905843497,-0.04859732879318664,-0.636972510735826,-0.3621764637056963,-0.566526799003001,-0.14570178114558496,1.0112609674137416,0.31997469762859326,278
